abbrev,state,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,DC,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,total_imm,total_emm
LA,Louisiana,1,14,9,4,21,8,0,0,1,16,6,1,0,0,5,3,6,2,N/A,2,5,1,3,0,7,43,0,7,1,0,0,3,1,1,9,5,2,0,2,0,3,0,7,91,2,5,0,5,0,1,0,303,664
MA,Massachusetts,1,2,2,9,66,10,59,7,8,57,15,2,2,0,12,6,0,1,8,N/A,17,11,7,5,4,1,1,13,0,0,67,23,0,4,51,9,3,5,14,41,2,0,6,23,4,14,8,5,1,0,3,609,779
MD,Maryland,0,1,0,6,40,6,10,174,30,58,22,1,3,1,10,3,4,5,8,11,N/A,3,8,4,3,4,0,25,1,1,4,18,3,2,37,12,3,4,62,0,5,0,6,23,5,189,0,13,1,7,2,838,956
ME,Maine,1,0,0,1,10,3,13,1,0,21,1,2,0,0,1,1,1,1,0,28,4,N/A,4,1,1,1,0,6,0,0,30,3,0,0,18,0,0,0,2,2,2,0,1,7,1,5,5,1,4,1,0,184,90
MI,Michigan,0,8,2,12,49,9,5,2,2,53,14,2,2,3,46,34,2,11,7,3,6,1,N/A,3,7,1,2,14,2,5,1,9,1,3,28,35,3,7,16,1,9,1,14,24,4,13,0,8,20,3,2,509,568
MN,Minnesota,0,2,0,17,31,13,2,0,0,20,6,3,34,4,15,2,5,4,6,7,5,0,5,N/A,6,0,7,9,37,4,0,1,1,5,14,4,2,3,8,0,2,14,5,17,2,8,1,5,55,1,0,392,487
MO,Missouri,3,3,25,10,43,19,3,5,1,31,8,0,26,3,68,7,153,3,7,2,4,2,11,6,N/A,2,1,12,6,7,1,4,1,4,11,11,15,5,12,1,4,0,15,40,4,13,0,9,6,0,0,627,652
MS,Mississippi,1,24,7,5,6,5,1,2,0,26,9,0,3,0,3,2,0,4,64,0,1,0,3,0,5,N/A,1,2,0,1,0,1,0,2,3,0,2,2,4,0,1,0,50,20,0,6,0,1,1,0,0,268,282
MT,Montana,1,1,0,4,23,17,0,1,0,6,2,0,1,13,2,1,0,0,0,0,2,0,2,4,1,1,N/A,2,5,4,1,1,0,5,3,5,2,13,6,0,1,1,0,8,8,4,0,13,5,0,7,176,134
NC,North Carolina,5,11,4,19,112,31,24,11,11,250,81,2,9,4,30,14,12,17,23,23,52,6,26,12,11,1,3,N/A,0,3,5,53,6,9,89,47,9,12,59,3,115,3,33,68,9,146,3,16,14,11,2,1519,873
ND,North Dakota,1,0,0,2,2,7,1,0,2,4,0,0,2,1,0,0,4,0,3,0,0,1,0,37,1,0,4,0,N/A,4,0,1,2,2,1,1,2,0,1,0,0,6,0,3,0,0,0,3,1,0,1,100,135
NE,Nebraska,1,2,1,12,10,20,0,0,0,6,3,0,34,2,8,3,12,3,0,3,0,0,2,5,12,1,1,2,2,N/A,0,0,1,0,1,5,3,2,0,0,0,5,0,8,2,3,0,2,1,0,4,182,201
NH,New Hampshire,0,0,0,2,12,4,6,1,0,11,2,0,0,0,1,0,0,0,1,120,1,10,2,0,5,0,0,2,0,1,N/A,4,0,2,11,2,0,0,3,1,1,0,0,9,0,8,22,1,5,0,0,250,242
NJ,New Jersey,0,3,2,12,55,9,26,3,14,82,21,1,0,1,20,69,2,2,3,30,9,4,9,4,3,0,1,18,0,0,8,N/A,1,2,522,13,2,6,155,3,12,0,5,27,2,14,1,4,3,1,1,1185,1093
NM,New Mexico,4,0,1,11,32,29,0,0,0,7,5,1,2,2,6,3,1,0,3,1,2,0,2,0,1,1,2,2,1,0,1,2,N/A,7,3,4,10,5,2,0,1,1,1,40,2,8,0,7,2,0,0,215,230
NV,Nevada,3,2,0,20,311,21,3,0,2,32,6,8,1,7,15,1,4,2,7,5,5,0,9,4,6,3,6,4,4,3,4,9,3,N/A,17,9,3,16,6,2,3,2,5,20,24,13,0,16,4,1,3,654,390
NY,New York,3,3,1,7,164,24,89,29,19,128,33,3,0,3,30,2,3,5,10,61,25,1,15,9,6,1,2,27,1,2,11,241,5,6,N/A,13,2,7,64,3,14,0,16,40,9,35,14,15,4,1,1,1207,2184
OH,Ohio,2,10,5,12,69,20,8,5,0,79,21,1,7,1,29,34,4,60,8,12,19,2,34,6,10,5,1,21,0,1,5,12,3,5,27,N/A,5,4,55,2,7,0,20,28,4,22,0,10,7,23,2,727,801
OK,Oklahoma,0,3,18,8,25,19,2,2,1,18,9,1,4,1,3,2,15,3,11,1,1,0,4,2,20,2,2,7,2,3,0,1,3,4,1,2,N/A,4,5,0,3,1,5,86,1,2,1,3,2,1,1,315,321
OR,Oregon,5,4,0,23,198,23,2,4,1,13,11,9,4,17,12,1,0,0,5,5,5,2,4,4,8,1,7,3,3,0,4,2,4,13,9,4,3,N/A,10,1,3,0,3,18,11,6,1,96,2,2,1,567,587
PA,Pennsylvania,3,11,2,9,56,12,13,8,49,81,13,1,5,3,23,7,4,6,12,19,75,4,19,18,5,2,2,19,4,7,6,162,3,2,112,51,3,5,N/A,2,10,5,7,33,1,36,2,15,17,19,3,986,1047
RI,Rhode Island,0,1,0,0,16,1,14,0,0,16,3,0,1,0,0,0,0,0,0,55,2,1,0,2,0,0,0,2,0,0,5,1,0,1,7,2,1,0,5,N/A,0,0,1,1,0,4,0,1,2,0,0,145,116
SC,South Carolina,6,9,1,9,35,15,30,2,2,87,89,3,3,1,30,11,5,14,6,15,30,5,11,6,5,3,0,165,0,0,6,34,2,4,59,32,5,4,37,2,N/A,0,13,22,3,46,2,11,3,7,1,891,442
SD,South Dakota,0,0,0,5,5,11,0,0,0,5,2,0,17,0,3,0,0,0,0,0,0,0,1,19,1,1,3,1,15,12,0,1,1,0,1,0,0,1,0,0,0,N/A,3,5,0,1,0,1,4,0,6,125,93
TN,Tennessee,1,32,11,12,79,21,6,1,3,118,87,1,4,4,35,21,3,35,15,6,15,1,26,5,13,46,2,33,0,0,3,6,3,5,25,34,10,7,17,0,18,3,N/A,67,5,40,1,13,8,5,0,906,645
TX,Texas,10,25,41,60,436,134,23,11,7,207,86,10,20,11,89,33,38,21,212,35,34,2,39,32,59,40,6,54,8,16,7,46,51,30,88,49,89,25,50,2,18,11,52,N/A,32,57,3,71,25,4,4,2513,1745
UT,Utah,0,3,4,25,90,26,4,1,1,20,5,8,3,18,4,3,2,0,2,2,3,1,5,1,6,2,6,4,4,2,1,4,4,15,6,3,3,12,5,1,3,0,1,26,N/A,3,0,19,2,0,9,372,322
VA,Virginia,2,12,5,10,67,23,15,121,10,102,38,2,1,1,20,5,6,6,12,18,179,2,10,5,10,10,4,85,0,5,6,30,5,9,62,19,6,7,46,3,24,0,32,79,1,N/A,1,17,2,15,3,1153,1278
VT,Vermont,0,0,0,0,2,3,4,0,0,5,0,0,0,0,0,0,0,1,0,12,2,2,0,1,0,0,0,1,0,0,10,3,0,0,5,1,1,0,0,0,2,0,1,4,0,3,N/A,0,0,1,0,64,101
WA,Washington,20,1,1,35,248,33,4,1,2,35,10,12,3,45,20,6,4,3,8,7,11,1,9,7,6,0,12,7,3,3,2,8,8,21,17,7,4,167,9,0,3,1,3,44,15,15,0,N/A,7,0,0,888,770
WI,Wisconsin,2,0,0,7,30,15,4,2,1,25,10,1,14,3,84,6,2,3,4,4,5,0,21,85,8,1,4,5,2,2,2,5,2,6,14,10,0,4,10,0,1,3,5,10,5,7,0,9,N/A,0,2,445,417
WV,West Virginia,0,1,0,0,3,0,1,0,2,8,3,0,0,0,2,2,1,7,1,0,14,0,1,1,0,1,0,1,0,0,1,1,0,0,3,15,1,0,7,0,2,0,3,2,0,32,0,1,1,N/A,1,119,149
WY,Wyoming,0,0,1,11,16,19,1,0,1,9,2,1,1,3,1,0,1,0,0,0,2,0,0,3,4,2,5,1,2,4,0,1,1,6,0,0,0,0,1,0,2,1,2,9,3,4,0,2,1,1,N/A,124,114
