abbrev,state,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,DC,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,total_imm,total_emm
GA,Georgia,1,83,3,14,60,21,6,4,1,220,N/A,4,4,5,28,9,9,9,6,15,22,1,14,6,8,9,2,81,0,3,2,21,5,6,33,21,9,11,13,3,89,2,87,86,5,38,0,10,10,3,2,1176,1104
HI,Hawaii,0,1,0,4,37,3,2,0,2,5,1,N/A,0,4,0,0,2,1,1,2,1,2,2,3,0,0,0,2,0,0,0,1,1,8,3,1,1,9,1,0,3,0,1,10,8,2,0,12,1,0,1,155,138
IA,Iowa,1,1,4,14,15,10,1,0,1,21,4,1,N/A,0,36,9,14,1,0,2,3,0,2,34,26,3,1,9,2,34,0,0,2,1,0,7,4,4,5,1,3,17,4,20,3,1,0,3,14,0,1,253,339
ID,Idaho,0,2,1,11,20,7,1,0,0,4,0,1,0,N/A,4,2,0,0,0,0,1,0,3,4,3,0,13,4,1,2,0,1,2,7,3,1,1,17,3,0,1,0,4,11,18,1,0,45,3,0,3,403,205
IL,Illinois,0,7,8,62,69,51,6,6,2,149,33,1,33,3,N/A,104,7,24,5,12,10,1,46,15,68,3,2,30,0,8,1,20,6,15,30,29,3,12,23,0,30,3,35,89,4,20,0,20,84,2,1,877,1192
IN,Indiana,0,4,5,10,27,13,1,0,2,76,12,0,5,2,73,N/A,1,51,3,6,3,1,34,2,7,2,1,14,0,3,0,69,3,1,2,34,2,1,7,0,11,0,21,33,3,5,0,6,6,2,0,484,564
KS,Kansas,0,2,2,11,11,22,0,0,2,22,7,0,5,2,9,1,N/A,0,6,0,4,1,2,5,153,0,0,12,4,12,0,2,1,4,3,4,15,0,4,0,5,0,3,38,2,6,0,4,2,1,1,379,390
KY,Kentucky,0,5,4,8,19,8,2,0,2,47,6,2,2,0,13,54,0,N/A,2,1,5,1,11,4,3,4,0,17,0,3,0,2,0,2,5,60,3,0,6,0,14,0,35,21,0,6,1,3,3,7,0,335,391
LA,Louisiana,1,22,25,16,27,11,2,3,0,51,27,0,3,0,17,4,2,7,N/A,8,8,0,7,6,7,64,0,23,3,0,1,3,3,7,10,8,11,5,12,0,6,0,15,212,2,12,0,8,4,1,0,303,664
MA,Massachusetts,1,4,2,4,54,17,38,7,5,125,15,0,0,1,10,4,3,2,2,N/A,11,28,3,7,2,0,0,23,0,3,120,30,1,5,61,12,1,5,19,55,15,0,6,35,2,18,12,7,4,0,0,609,779
MD,Maryland,0,4,0,17,39,18,6,120,43,113,25,4,3,2,16,9,1,1,5,17,N/A,4,6,5,4,1,2,52,0,0,1,9,2,5,25,19,1,5,75,2,30,0,15,34,3,179,2,11,5,14,2,838,956
ME,Maine,0,0,1,1,2,1,1,2,1,12,1,0,1,1,1,0,0,2,1,11,3,N/A,1,0,2,0,0,6,1,0,10,4,0,0,1,2,0,2,4,1,5,0,1,2,1,2,2,1,0,0,0,184,90
MI,Michigan,2,8,2,26,35,8,3,0,0,95,17,0,2,1,27,42,4,4,3,7,8,4,N/A,5,11,3,2,26,0,2,2,9,2,9,15,34,4,4,19,0,11,1,26,39,5,10,0,9,21,1,0,509,568
MN,Minnesota,2,3,3,27,29,13,3,2,3,48,9,0,22,1,21,3,5,2,0,5,4,1,3,N/A,6,0,4,12,37,5,0,4,0,4,9,6,2,4,18,2,6,19,5,32,1,5,1,7,85,1,3,392,487
MO,Missouri,0,8,35,17,33,17,1,4,0,52,17,0,11,2,57,5,157,2,7,4,3,1,7,6,N/A,5,1,11,1,12,5,3,1,6,6,10,20,8,5,0,5,1,13,59,6,10,0,6,8,0,4,627,652
MS,Mississippi,0,26,12,1,6,5,0,0,0,29,16,0,1,1,4,4,0,1,43,1,4,1,1,0,2,N/A,1,1,0,1,0,0,1,3,1,5,2,1,2,0,3,1,46,40,2,10,0,0,1,1,2,268,282
MT,Montana,0,1,0,11,6,3,0,0,0,7,1,0,1,14,2,2,1,0,0,1,0,0,2,7,1,1,N/A,3,4,1,0,1,2,6,2,1,2,7,2,0,0,3,2,6,6,4,0,12,4,0,5,176,134
NC,North Carolina,1,10,3,10,39,20,11,8,2,122,57,1,5,0,12,5,2,11,7,13,25,6,14,9,12,2,2,N/A,0,2,2,18,2,4,27,21,7,3,19,2,165,1,33,54,4,85,1,7,5,1,1,1519,873
ND,North Dakota,0,1,0,5,3,7,0,0,1,3,0,0,2,5,2,0,2,1,1,0,1,0,2,37,6,0,5,0,N/A,2,0,0,1,4,1,0,2,3,4,0,0,15,0,8,4,0,0,3,2,0,2,100,135
NE,Nebraska,0,1,5,10,7,17,1,1,1,12,5,0,33,0,4,1,13,0,0,0,1,0,5,4,7,1,4,3,4,N/A,1,0,0,3,2,1,3,0,7,0,0,12,0,16,2,5,0,3,2,0,4,182,201
NH,New Hampshire,0,1,2,1,3,3,3,2,1,31,3,0,0,0,1,0,0,0,0,67,4,30,1,0,1,0,1,5,0,0,N/A,8,1,4,11,5,0,4,6,5,6,0,3,7,1,6,10,2,2,1,0,250,242
NJ,New Jersey,0,2,4,12,62,15,15,4,24,204,32,1,0,2,16,5,4,1,3,23,18,3,9,1,4,1,1,53,1,0,4,N/A,2,9,241,12,1,2,162,1,34,1,6,46,4,30,3,8,5,1,1,1185,1093
NM,New Mexico,1,2,2,29,27,27,1,0,0,12,3,0,0,4,3,0,2,2,1,0,3,0,1,1,1,0,0,6,2,1,0,1,N/A,3,5,3,3,4,3,0,2,1,3,51,4,5,0,8,2,0,1,215,230
NV,Nevada,0,3,1,27,113,12,1,1,2,22,5,8,0,12,6,0,1,1,1,4,2,0,3,5,4,2,5,9,2,0,2,2,7,N/A,6,5,4,13,2,1,4,0,5,30,15,9,0,21,6,0,6,654,390
NY,New York,0,4,4,25,198,38,149,18,23,346,52,4,6,1,48,6,2,6,9,51,37,18,28,14,11,3,3,89,1,1,11,522,3,17,N/A,27,1,9,112,7,59,1,25,88,6,62,5,17,14,3,0,1207,2184
OH,Ohio,2,6,4,23,37,11,3,2,3,129,39,4,2,0,39,31,1,61,5,9,12,0,35,4,11,0,5,47,1,5,2,13,4,9,13,N/A,2,4,51,2,32,0,34,49,3,19,1,7,10,15,0,727,801
OK,Oklahoma,1,6,21,7,14,21,0,0,0,22,4,1,2,2,5,4,12,5,2,3,3,0,3,2,15,2,2,9,2,3,0,2,10,3,2,5,N/A,3,3,1,5,0,10,89,3,6,1,4,0,1,0,315,321
OR,Oregon,1,4,0,48,89,23,0,0,0,23,2,13,3,45,3,2,2,2,0,5,4,0,7,3,5,2,13,12,0,2,0,6,5,16,7,4,4,N/A,5,0,4,1,7,25,12,7,0,167,4,0,0,567,587
PA,Pennsylvania,1,6,4,14,56,24,6,5,50,145,24,1,0,4,19,11,1,3,2,14,62,2,16,8,12,4,6,59,1,0,3,155,2,6,64,55,5,10,N/A,5,37,0,17,50,5,46,0,9,10,7,1,986,1047
RI,Rhode Island,0,1,0,6,4,0,10,1,0,21,1,0,0,0,2,0,0,0,0,41,0,2,1,0,1,0,0,3,0,0,1,3,0,2,3,2,0,1,2,N/A,2,0,0,2,1,3,0,0,0,0,0,145,116
SC,South Carolina,0,6,1,9,11,5,4,1,3,57,55,1,0,3,5,5,1,4,3,2,5,2,9,2,4,1,1,115,0,0,1,12,1,3,14,7,3,3,10,0,N/A,0,18,18,3,24,2,3,1,2,2,891,442
SD,South Dakota,0,0,2,6,4,10,0,0,0,3,1,0,6,0,0,1,2,0,0,0,0,0,1,14,0,0,1,3,6,5,0,0,1,2,0,0,1,0,5,0,0,N/A,3,11,0,0,0,1,3,0,1,125,93
TN,Tennessee,2,33,19,12,34,9,2,2,2,98,54,3,3,0,15,10,5,27,7,6,6,1,14,5,15,50,0,33,0,0,0,5,1,5,16,20,5,3,7,1,13,3,N/A,52,1,32,1,3,5,3,2,906,645
TX,Texas,3,26,44,67,195,115,7,14,4,168,57,14,18,8,50,16,25,12,91,23,23,7,24,17,40,20,8,68,3,8,9,27,40,20,40,28,86,18,33,1,22,5,67,N/A,26,79,4,44,10,2,9,2513,1745
UT,Utah,2,2,3,31,49,18,1,2,0,15,5,1,1,27,2,1,2,1,2,4,5,1,4,2,4,0,8,9,0,2,0,2,2,24,9,4,1,11,1,0,3,0,5,32,N/A,1,0,15,5,0,3,372,322
VA,Virginia,1,16,7,12,64,24,10,106,14,157,37,6,4,3,24,13,13,5,5,14,189,5,13,8,13,6,4,146,0,3,8,14,8,13,35,22,2,6,36,4,46,1,40,57,3,N/A,3,15,7,32,4,1153,1278
VT,Vermont,0,0,1,2,0,1,4,1,1,14,2,2,0,1,4,1,0,2,0,8,0,5,0,1,0,0,0,3,0,0,22,1,0,0,14,0,1,1,2,0,2,0,1,3,0,1,N/A,0,0,0,0,64,101
WA,Washington,9,5,4,65,97,24,3,2,1,44,11,10,6,69,17,7,2,1,5,5,13,1,8,5,9,1,13,16,3,2,1,4,7,16,15,10,3,96,15,1,11,1,13,71,19,17,0,N/A,9,1,2,888,770
WI,Wisconsin,0,1,2,31,21,10,3,1,0,41,12,2,14,3,48,12,4,2,0,1,1,4,20,55,6,1,5,14,1,1,5,3,2,4,4,7,2,2,17,2,3,4,8,25,2,2,0,7,N/A,1,1,445,417
WV,West Virginia,0,0,0,1,1,2,1,1,1,20,3,0,0,0,2,2,0,10,1,0,7,1,3,1,0,0,0,11,0,0,0,1,0,1,1,23,1,2,19,0,7,0,5,4,0,15,1,0,0,N/A,1,119,149
WY,Wyoming,3,1,0,4,9,22,1,0,0,5,2,1,0,3,3,0,1,0,0,3,2,0,2,0,0,0,7,2,1,4,0,1,0,3,1,2,1,1,3,0,1,6,0,4,9,3,0,0,2,1,N/A,124,114
